distance,numwall,etage,frequence,pathloss
18.13,3,0,4993.1,156.33
43.09,3,0,1838.4,152.2
14.78,1,1,1704.3,141.74
5.89,2,0,2329.4,124.47
13.43,0,0,5774.2,149.79
7.53,2,0,885.4,117.71
10.14,1,1,2419.5,141.29
14.51,1,0,944.1,123.34
5.43,2,0,2320.8,121.26
15.79,3,0,4980.7,159.64
27.79,2,0,5046.6,160.08
3.65,0,0,2455.0,116.08
23.34,3,1,2467.8,163.64
11.84,2,0,978.2,121.79
3.92,0,1,1852.1,128.37
39.74,2,0,5774.1,176.53
18.2,6,0,1857.9,154.66
8.9,2,0,2326.8,139.7
8.88,2,0,4985.5,146.88
14.97,2,0,2396.3,137.33
13.22,1,0,5778.4,156.12
7.69,2,0,4978.9,146.14
22.94,4,2,2354.5,181.65
47.72,2,2,1843.7,185.12
5.84,1,0,1877.5,117.88
23.36,4,2,5738.5,196.8
3.85,0,0,5059.5,130.33
14.89,1,0,5017.3,153.37
15.4,0,0,2364.3,124.98
28.2,2,1,5066.3,179.23
26.33,2,1,2420.6,164.08
24.6,5,1,2388.0,186.27
12.6,0,2,5793.1,184.87
10.19,0,2,2435.7,155.04
8.48,2,0,2438.9,134.3
13.99,1,1,5819.3,162.15
12.76,4,0,4942.9,160.87
15.54,8,0,912.9,145.24
8.26,2,0,904.1,121.36
5.96,2,0,883.3,110.68
12.63,4,0,4967.4,162.01
8.54,0,0,5716.5,136.78
18.25,2,0,2443.3,147.12
25.95,5,1,2463.3,179.46
10.08,0,1,2493.6,154.57
9.95,2,0,2337.6,140.57
12.77,2,0,2517.4,148.78
12.88,2,1,2380.7,157.1
21.1,4,0,903.5,127.68
15.25,1,2,868.9,150.71
7.6,0,0,2442.5,125.92
16.27,2,1,5029.1,177.05
11.98,2,2,5005.9,194.61
42.19,7,0,5778.0,200.4
9.81,4,0,2369.3,145.92
30.77,4,2,2439.6,187.41
9.51,0,0,5040.2,138.46
6.31,0,0,912.2,101.01
19.05,1,2,2443.6,167.72
30.68,7,3,1776.1,212.83
9.57,1,0,1799.8,119.12
33.68,7,4,938.5,212.92
12.88,1,1,5849.2,164.16
75.23,5,1,5820.3,204.82
11.15,1,0,2448.8,131.93
27.83,4,1,4909.5,177.55
5.94,5,1,5024.6,166.69
